times,type,counts
2011-04-02,IssuesEvent,1357
2011-04-02,ForkApplyEvent,78
2011-04-02,WatchEvent,3655
2011-04-02,PublicEvent,24
2011-04-02,PushEvent,17111
2011-04-02,DeleteEvent,314
2011-04-02,PullRequestEvent,757
2011-04-03,PublicEvent,37
2011-04-03,IssuesEvent,1114
2011-04-03,GistEvent,1184
2011-04-03,FollowEvent,1192
2011-04-03,WatchEvent,3944
2011-04-03,CommitCommentEvent,433
2011-04-03,CreateEvent,5535
2011-04-03,MemberEvent,212
2011-04-03,DeleteEvent,371
2011-04-03,PushEvent,19777
2011-04-03,GollumEvent,999
2011-04-03,ForkEvent,1055
2011-04-03,DownloadEvent,240
2011-04-03,ForkApplyEvent,133
2011-04-03,PullRequestEvent,765
2011-04-04,ForkEvent,1518
2011-04-04,FollowEvent,1700
2011-04-04,ForkApplyEvent,157
2011-04-04,WatchEvent,5926
2011-04-04,GistEvent,1580
2011-04-04,PublicEvent,44
2011-04-04,DeleteEvent,455
2011-04-04,IssuesEvent,1664
2011-04-04,CommitCommentEvent,720
2011-04-04,CreateEvent,6249
2011-04-04,PushEvent,25814
2011-04-04,MemberEvent,335
2011-04-04,PullRequestEvent,1203
2011-04-04,GollumEvent,1188
2011-04-04,DownloadEvent,203
2011-04-05,GollumEvent,1312
2011-04-05,FollowEvent,1968
2011-04-05,MemberEvent,340
2011-04-05,CommitCommentEvent,723
2011-04-05,WatchEvent,6389
2011-04-05,PushEvent,26958
2011-04-05,DownloadEvent,222
2011-04-05,IssuesEvent,1876
2011-04-05,PublicEvent,58
2011-04-05,DeleteEvent,1452
2011-04-05,PullRequestEvent,1179
2011-04-05,ForkEvent,1497
2011-04-05,GistEvent,1796
2011-04-05,ForkApplyEvent,178
2011-04-05,CreateEvent,7189
2011-04-06,PushEvent,25360
2011-04-06,ForkEvent,1477
2011-04-06,GistEvent,1586
2011-04-06,DeleteEvent,523
2011-04-06,WatchEvent,5245
2011-04-06,DownloadEvent,215
2011-04-06,PullRequestEvent,1095
2011-04-06,CreateEvent,6135
2011-04-06,FollowEvent,1633
2011-04-06,MemberEvent,370
2011-04-06,CommitCommentEvent,610
2011-04-06,GollumEvent,1097
2011-04-06,PublicEvent,44
2011-04-06,ForkApplyEvent,133
2011-04-06,IssuesEvent,1796
2011-04-07,GollumEvent,1053
2011-04-07,PullRequestEvent,1031
2011-04-07,ForkApplyEvent,142
2011-04-07,IssuesEvent,1603
2011-04-07,DownloadEvent,208
2011-04-07,PublicEvent,51
