time,type,count
2016-01-22,PushEvent,422846
2016-01-23,MemberEvent,4044
2016-01-23,WatchEvent,48477
2016-01-23,ReleaseEvent,1938
2016-01-23,PullRequestReviewCommentEvent,5868
2016-01-23,CreateEvent,76215
2016-01-23,IssueCommentEvent,40351
2016-01-23,IssuesEvent,21283
2016-01-23,PublicEvent,457
2016-01-23,CommitCommentEvent,2672
2016-01-23,PullRequestEvent,26239
2016-01-23,GollumEvent,3986
2016-01-23,PushEvent,321500
2016-01-23,DeleteEvent,10825
2016-01-23,ForkEvent,17571
2016-01-24,WatchEvent,48757
2016-01-24,MemberEvent,2646
2016-01-24,ForkEvent,17902
2016-01-24,PullRequestReviewCommentEvent,7081
2016-01-24,CreateEvent,75694
2016-01-24,ReleaseEvent,2168
2016-01-24,DeleteEvent,10444
2016-01-24,PublicEvent,524
2016-01-24,PullRequestEvent,26079
2016-01-24,PushEvent,334303
2016-01-24,CommitCommentEvent,2770
2016-01-24,GollumEvent,4573
2016-01-24,IssueCommentEvent,39674
2016-01-24,IssuesEvent,22470
2016-01-25,WatchEvent,80264
2016-01-25,IssueCommentEvent,80090
2016-01-25,ReleaseEvent,2777
2016-01-25,ForkEvent,26997
2016-01-25,MemberEvent,5414
2016-01-25,IssuesEvent,37123
2016-01-25,PublicEvent,840
2016-01-25,GollumEvent,6548
2016-01-25,CreateEvent,111868
2016-01-25,CommitCommentEvent,4831
2016-01-25,PushEvent,444883
2016-01-25,DeleteEvent,18486
2016-01-25,PullRequestReviewCommentEvent,16530
2016-01-25,PullRequestEvent,48827
2016-01-26,PullRequestEvent,51888
2016-01-26,IssueCommentEvent,85569
2016-01-26,GollumEvent,6961
2016-01-26,ForkEvent,28761
2016-01-26,IssuesEvent,39194
2016-01-26,ReleaseEvent,3249
2016-01-26,PushEvent,465096
2016-01-26,DeleteEvent,19580
2016-01-26,PublicEvent,992
2016-01-26,PullRequestReviewCommentEvent,16833
2016-01-26,WatchEvent,79953
2016-01-26,CommitCommentEvent,5312
2016-01-26,CreateEvent,114517
2016-01-26,MemberEvent,5499
2016-01-27,PublicEvent,810
2016-01-27,WatchEvent,79188
2016-01-27,PullRequestReviewCommentEvent,16987
2016-01-27,MemberEvent,5601
2016-01-27,CommitCommentEvent,5420
2016-01-27,ReleaseEvent,2939
2016-01-27,CreateEvent,119583
2016-01-27,GollumEvent,7031
2016-01-27,IssueCommentEvent,85669
2016-01-27,DeleteEvent,21249
2016-01-27,PushEvent,470815
2016-01-27,ForkEvent,28894
2016-01-27,PullRequestEvent,54415
2016-01-27,IssuesEvent,39586
2016-01-28,PullRequestEvent,50674
2016-01-28,ReleaseEvent,2723
2016-01-28,PullRequestReviewCommentEvent,15184
2016-01-28,IssuesEvent,40135
2016-01-28,PublicEvent,763
2016-01-28,CommitCommentEvent,5217
2016-01-28,DeleteEvent,19996
2016-01-28,IssueCommentEvent,76595
2016-01-28,CreateEvent,115104
2016-01-28,MemberEvent,6769
2016-01-28,ForkEvent,27139
2016-01-28,WatchEvent,72352
2016-01-28,GollumEvent,6196
2016-01-28,PushEvent,416997
2016-01-29,ReleaseEvent,2731
2016-01-29,PullRequestReviewCommentEvent,14292
2016-01-29,WatchEvent,76155
2016-01-29,IssuesEvent,37563
2016-01-29,CreateEvent,113701
2016-01-29,GollumEvent,6347
2016-01-29,MemberEvent,6486
2016-01-29,IssueCommentEvent,77636
2016-01-29,DeleteEvent,19807
2016-01-29,PushEvent,413809
2016-01-29,PublicEvent,842
2016-01-29,PullRequestEvent,48983
2016-01-29,CommitCommentEvent,4534
2016-01-29,ForkEvent,27175
2016-01-30,CreateEvent,83379
2016-01-30,PullRequestEvent,29995
2016-01-30,WatchEvent,51071
2016-01-30,PullRequestReviewCommentEvent,5993
2016-01-30,DeleteEvent,15092
2016-01-30,MemberEvent,5562
2016-01-30,ForkEvent,16960
2016-01-30,ReleaseEvent,2682
2016-01-30,CommitCommentEvent,2871
2016-01-30,PublicEvent,498
2016-01-30,IssueCommentEvent,42794
2016-01-30,PushEvent,334934
2016-01-30,IssuesEvent,24686
2016-01-30,GollumEvent,4926
2016-01-31,IssuesEvent,23872
2016-01-31,CommitCommentEvent,2688
2016-01-31,PullRequestEvent,28683
2016-01-31,CreateEvent,83188
2016-01-31,WatchEvent,52157
2016-01-31,PushEvent,355651
2016-01-31,ReleaseEvent,1881
2016-01-31,MemberEvent,2707
2016-01-31,GollumEvent,4339
2016-01-31,DeleteEvent,10758
2016-01-31,PublicEvent,580
2016-01-31,ForkEvent,16063
2016-01-31,IssueCommentEvent,40848
2016-01-31,PullRequestReviewCommentEvent,6393
2016-02-01,IssueCommentEvent,79863
2016-02-01,PublicEvent,894
2016-02-01,PushEvent,437133
2016-02-01,CommitCommentEvent,4909
2016-02-01,CreateEvent,118818
2016-02-01,GollumEvent,6987
2016-02-01,PullRequestReviewCommentEvent,17891
2016-02-01,ForkEvent,26120
2016-02-01,IssuesEvent,39381
2016-02-01,MemberEvent,6140
2016-02-01,PullRequestEvent,49508
2016-02-01,WatchEvent,76158
2016-02-01,DeleteEvent,20647
2016-02-01,ReleaseEvent,3229
2016-02-02,ForkEvent,28476
2016-02-02,CreateEvent,124838
2016-02-02,DeleteEvent,19537
2016-02-02,GollumEvent,6315
2016-02-02,IssuesEvent,45652
